Date,Open,High,Low,Close,Adj Close,Volume
2019-03-29,189.830002,190.080002,188.539993,189.949997,186.653152,23564000
2019-04-01,191.639999,191.679993,188.380005,191.240005,187.920776,27862000
2019-04-02,191.089996,194.460007,191.050003,194.020004,190.652512,22765700
2019-04-03,193.250000,196.500000,193.149994,195.350006,191.959442,23271800
2019-04-04,194.789993,196.369995,193.139999,195.690002,192.293503,19114300
2019-04-05,196.449997,197.100006,195.929993,197.000000,193.580765,18526600
2019-04-08,196.419998,200.229996,196.339996,200.100006,196.626968,25881700
2019-04-09,200.320007,202.850006,199.229996,199.500000,196.037384,35768200
2019-04-10,198.679993,200.740005,198.179993,200.619995,197.137939,21695300
2019-04-11,200.850006,201.000000,198.440002,198.949997,195.496933,20900800
2019-04-12,199.199997,200.139999,196.210007,198.869995,195.418320,27760700
2019-04-15,198.580002,199.850006,198.009995,199.229996,195.772064,17536600
2019-04-16,199.460007,201.369995,198.559998,199.250000,195.791733,25696400
2019-04-17,199.539993,203.380005,198.610001,203.130005,199.604385,28906800
2019-04-18,203.119995,204.149994,202.520004,203.860001,200.321732,24195800
2019-04-22,202.830002,204.940002,202.339996,204.529999,200.980103,19439500
2019-04-23,204.429993,207.750000,203.899994,207.479996,203.878876,23323000
2019-04-24,207.360001,208.479996,207.050003,207.160004,203.564438,17540600
2019-04-25,206.830002,207.759995,205.119995,205.279999,201.717087,18543200
2019-04-26,204.899994,205.000000,202.119995,204.300003,200.754089,18649100
2019-04-29,204.399994,205.970001,203.860001,204.610001,201.058716,22204700
2019-04-30,203.059998,203.399994,199.110001,200.669998,197.187088,46534900
2019-05-01,209.880005,215.309998,209.229996,210.520004,206.866135,64827300
2019-05-02,209.839996,212.649994,208.130005,209.149994,205.519897,31996300
2019-05-03,210.889999,211.839996,210.229996,211.750000,208.074783,20892400
2019-05-06,204.289993,208.839996,203.500000,208.479996,204.861542,32443100
2019-05-07,205.880005,207.419998,200.830002,202.860001,199.339096,38763700
2019-05-08,201.899994,205.339996,201.750000,202.899994,199.378372,26339500
2019-05-09,200.399994,201.679993,196.660004,200.720001,197.236206,34908600
2019-05-10,197.419998,198.850006,192.770004,197.179993,194.503815,41208700
2019-05-13,187.710007,189.479996,182.850006,185.720001,183.199371,57430600
2019-05-14,186.410004,189.699997,185.410004,188.660004,186.099457,36529700
2019-05-15,186.270004,191.750000,186.020004,190.919998,188.328781,26544700
2019-05-16,189.910004,192.470001,188.839996,190.080002,187.500198,33031400
2019-05-17,186.929993,190.899994,186.759995,189.000000,186.434860,32879100
2019-05-20,183.520004,184.350006,180.279999,183.089996,180.605057,38612300
2019-05-21,185.220001,188.000000,184.699997,186.600006,184.067429,28364800
2019-05-22,184.660004,185.710007,182.550003,182.779999,180.299255,29748600
2019-05-23,179.800003,180.539993,177.809998,179.660004,177.221603,36529700
2019-05-24,180.199997,182.139999,178.619995,178.970001,176.540985,23714700
2019-05-28,178.919998,180.589996,177.910004,178.229996,175.811020,27948200
2019-05-29,176.419998,179.350006,176.000000,177.380005,174.972549,28481200
2019-05-30,177.949997,179.229996,176.669998,178.300003,175.880081,21218400
2019-05-31,176.229996,177.990005,174.990005,175.070007,172.693909,27043600
2019-06-03,175.600006,177.919998,170.270004,173.300003,170.947906,40396100
2019-06-04,175.440002,179.830002,174.520004,179.639999,177.201874,30968000
2019-06-05,184.279999,184.990005,181.139999,182.539993,180.062485,29773400
2019-06-06,183.080002,185.470001,182.149994,185.220001,182.706146,22526300
2019-06-07,186.509995,191.919998,185.770004,190.149994,187.569214,30684400
2019-06-10,191.809998,195.369995,191.619995,192.580002,189.966248,26220900
2019-06-11,194.860001,196.000000,193.600006,194.809998,192.165970,26932900
2019-06-12,193.949997,195.970001,193.389999,194.190002,191.554413,18221800
2019-06-13,194.699997,196.789993,193.600006,194.149994,191.514923,21674600
2019-06-14,191.550003,193.589996,190.300003,192.740005,190.124084,18761500
2019-06-17,192.899994,194.960007,192.169998,193.889999,191.258484,14669100
2019-06-18,196.050003,200.289993,195.210007,198.449997,195.756577,26551000
2019-06-19,199.679993,199.880005,197.309998,197.869995,195.184464,21124200
2019-06-20,200.369995,200.610001,198.029999,199.460007,196.752869,21514000
2019-06-21,198.800003,200.850006,198.149994,198.779999,196.082092,47800600
2019-06-24,198.539993,200.160004,198.169998,198.580002,195.884811,18220400
2019-06-25,198.429993,199.259995,195.289993,195.570007,192.915680,21070300
2019-06-26,197.770004,200.990005,197.350006,199.800003,197.088272,26067500
2019-06-27,200.289993,201.570007,199.570007,199.740005,197.029083,20899700
2019-06-28,198.679993,199.500000,197.050003,197.919998,195.233765,31110600
2019-07-01,203.169998,204.490005,200.649994,201.550003,198.814529,27316700
2019-07-02,201.410004,203.130005,201.360001,202.729996,199.978485,16935200
2019-07-03,203.279999,204.440002,202.690002,204.410004,201.635681,11362000
2019-07-05,203.350006,205.080002,202.899994,204.229996,201.458115,17265500
2019-07-08,200.809998,201.399994,198.410004,200.020004,197.305267,25338600
2019-07-09,199.199997,201.509995,198.809998,201.240005,198.508728,20578000
2019-07-10,201.850006,203.729996,201.559998,203.229996,200.471710,17897100
2019-07-11,203.309998,204.389999,201.710007,201.750000,199.011795,20191800
2019-07-12,202.449997,204.000000,202.199997,203.300003,200.540771,17595200
2019-07-15,204.089996,205.869995,204.000000,205.210007,202.424835,16947400
2019-07-16,204.589996,206.110001,203.500000,204.500000,201.724472,16866800
2019-07-17,204.050003,205.089996,203.270004,203.350006,200.590073,14107500
2019-07-18,204.000000,205.880005,203.699997,205.660004,202.868729,18582200
2019-07-19,205.789993,206.500000,202.360001,202.589996,199.840378,20929300
2019-07-22,203.649994,207.229996,203.610001,207.220001,204.407562,22277900
2019-07-23,208.460007,208.910004,207.289993,208.839996,206.005554,18355200
2019-07-24,207.669998,209.149994,207.169998,208.669998,205.837891,14991600
2019-07-25,208.889999,209.240005,206.729996,207.020004,204.210281,13909600
2019-07-26,207.479996,209.729996,207.139999,207.740005,204.920502,17618900
2019-07-29,208.460007,210.639999,208.440002,209.679993,206.834152,21673400
2019-07-30,208.759995,210.160004,207.309998,208.779999,205.946365,33935700
2019-07-31,216.419998,221.369995,211.300003,213.039993,210.148560,69281400
2019-08-01,213.899994,218.029999,206.740005,208.429993,205.601120,54017900
2019-08-02,205.529999,206.429993,201.630005,204.020004,201.250992,40862100
